Anio;Codigo_Biblioteca_REBIUN;Biblioteca;Eje;Nombre_Eje;Apartado;Nombre_Apartado;Codigo_REBIUN;Codigo_Tecnico;Indicador;Valor
2020;31;IE Universidad;1;Personas usuarias;1.2;Estudiantes;1.2.3;NESTITPROP;Estudiantes de títulos propios y otros;0
2020;31;IE Universidad;1;Personas usuarias;1.3;Docentes;1.3;NDOCENTES;Docentes;957
2020;31;IE Universidad;1;Personas usuarias;1.3;Docentes;1.3.1;NPDICOMPLETA;Docentes con dedicación completa;116
2020;31;IE Universidad;1;Personas usuarias;1.3;Docentes;1.3.2;NPDIPARCIAL;Docentes con dedicación parcial;841
2020;31;IE Universidad;1;Personas usuarias;1.4;Personal Técnico, de Gestión y de Administración y Servicios;1.4;NPASUNIV;Personal de Administración y Servicios;334
2020;31;IE Universidad;1;Personas usuarias;1.5;Personas usuarias externas registradas;1.5;NUSUARIOEXT;Usuarios externos registrados;69000
2020;31;IE Universidad;1;Personas usuarias;1.6;Personas usuarias consorciadas;1.6;NUSUCONSORC;Usuarios Consorciados;69000
2020;31;IE Universidad;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2.1;NPLANTILLATOTAL;Plantilla total (a jornada completa);11
2020;31;IE Universidad;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2.1.1;NBIBPROFESIONAL;Bibliotecarios;10
2020;31;IE Universidad;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2.1.2;NAUXIBIB;Auxiliares de biblioteca;0
2020;31;IE Universidad;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2.1.3;NBECAEST;Estudiantes becarios y asimilados;0
2020;31;IE Universidad;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2.1.4;NPERSESP;Personal especializado;0
2020;31;IE Universidad;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2.1.5;NPERSADMIN;Personal administrativo;1
2020;31;IE Universidad;2;Recursos Humanos;2.2;Cursos de formación;2.2.1;NCURSOSFORM;Número de cursos recibidos por el personal de la biblioteca;70
